Батар.;Батарейка
д/;для 
ш-нь;шампунь
дит.;дитячий
свіж.;свіжість
св.;свіжість
натуральн.;натуральна
сильн.;сильный
увлажн.;увлажнитель
экс.;экстра
чист.;чистящий
муж.;мужской
жен.;женский
Туалет.;Туалетный
Туалетн.;Туалетный
ут.;утенок
освіж.;освіжувач
детс.;детское
Ср-во;Средство
Осв.;Освіжувач
унів.;універсальний
жидк.;жидкий
Однор. станки;Одноразовые станки
Однор. станок;Одноразовый станок
Осв.;освіжувач
об.;обуви 
 ,;,
вологовбір.;вологовбірні
прорезин.;прорезиненная
мед.;медецинская
- катридж;-катридж
Акум.;Аккумулятор
Салф.;Салфетка
Презерв.;Презервативы
Зажиг.Турбо;Зажигалка Turbo
Зажиг.;Зажигалка
BIC  ;BIC 
б/;без 
білкаТікі;білка Тікі
кольор.;кольоровий 
А-4;А4
  ; 
с/лака;снятия лака
Туал.вода;Туалетна вода
 -губка;-губка
разд.;разделочная
